01/04/2019 15:05:25 ,DEBUG  ,[PersistenceUnitInfo [
	name: myJpaPersistenceUnit
	persistence provider classname: null
	classloader: ParallelWebappClassLoader
  context: SpringDataJpa
  delegate: false
----------> Parent Classloader:
java.net.URLClassLoader@49476842

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.DriverManagerDataSource@3f0b48b7
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/Dev%20PC/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/SpringDataJpa/WEB-INF/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.spring.model.User]
	Mapping files names []
	Properties []] , [org.hibernate.jpa.internal.util.LogHelper.logPersistenceUnitInformation(LogHelper.java:102)], localhost-startStop-1, 492 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@52ece1dc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1583 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2d0063f8] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1584 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration binary -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1587 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration byte[] -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1588 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [B -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1588 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1591 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1591 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1592 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration image -> org.hibernate.type.ImageType@590253b1] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1595 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration characters -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1598 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration char[] -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1598 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [C -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1599 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@64177cb2] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1602 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@64177cb2] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1602 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@64177cb2] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1602 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration text -> org.hibernate.type.TextType@6b3c87ed] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1605 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration ntext -> org.hibernate.type.NTextType@7b956ed7] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1606 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration blob -> org.hibernate.type.BlobType@2dedb76f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1620 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@2dedb76f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1621 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@2f54ac1a] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1622 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration clob -> org.hibernate.type.ClobType@62c73d58] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1636 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@62c73d58] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1637 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration nclob -> org.hibernate.type.NClobType@4f087716] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1648 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@4f087716] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1648 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@50cf85e5] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1649 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@6248f82] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1651 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration serializable -> org.hibernate.type.SerializableType@2c55ef39] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1653 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration object -> org.hibernate.type.ObjectType@3a1e5108] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1660 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3a1e5108] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1661 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@4186045] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1663 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@4c46e7df] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1663 
